case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
initial_noegr_04,initial_noegr_steady_xlsx,30,0.1,152,0,ok,,0,2.12310107464024e-08,-2.0514400349578e-05,0.191927601379501,0.00529554974254676,0.0903536146492031
initial_noegr_05,initial_noegr_steady_xlsx,30,0.1,228,0,ok,,0,1.89322001001412e-08,-1.93067676294677e-05,0.153477925742859,0.00439151390209624,0.0566898118001134
initial_noegr_06,initial_noegr_steady_xlsx,30,0.1,266,0,ok,,0,7.06759232562419e-08,-9.71119191369622e-06,0.148972395633422,0.00418838668534582,0.0244411250355827
initial_noegr_07,initial_noegr_steady_xlsx,30,0.1,342,0,ok,,0,1.2164388767388e-07,-4.41879185009365e-07,0.123867708609069,0.00354117212367,0.000864983316293532
initial_noegr_08,initial_noegr_steady_xlsx,30,0.1,418,0,ok,,0,1.4473104013617e-07,1.58838393861095e-06,0.101335588960303,0.00301200341587049,0.00254395542747149
initial_noegr_09,initial_noegr_steady_xlsx,30,0.1,494,0,ok,,0,2.07620091343968e-07,4.04923600992862e-06,0.0952605620791918,0.00294052507609177,0.00548752401810414
initial_noegr_10,initial_noegr_steady_xlsx,30,0.1,570,0,ok,,0,2.64056851440263e-07,7.11151017145688e-06,0.0775193578717452,0.00248729436236339,0.00835251515886397
initial_noegr_11,initial_noegr_steady_xlsx,30,0.1,646,0,ok,,0,3.12445475802258e-07,1.06495739802815e-05,0.0678928127797942,0.00225427459430616,0.0110364654864598
initial_noegr_12,initial_noegr_steady_xlsx,30,0.1,684,0,ok,,0,3.11604934811674e-07,1.26602668462595e-05,0.0582782736558229,0.00197207818972112,0.0123913051048179
initial_noegr_13,initial_noegr_steady_xlsx,30,0.1,722,0,ok,,0,3.21314418093619e-07,1.47209825233597e-05,0.0531166083721004,0.00182431628149593,0.0136499132779406
cegr0608_001,cegr_0608_txt,30,0.1,38,0,ok,,200,0.000420911912551626,-1.2401681655077e-05,0.428899111128287,0.0554544088617285,3.1055487130711
cegr0608_002,cegr_0608_txt,30,0.1,38,0.0536594306,ok,,200,0.000395101278697155,-1.24187739139199e-05,0.833461897535466,0.0925262666409811,2.51070379015593
cegr0608_003,cegr_0608_txt,30,0.1,38,0.2858217391,ok,,200,0.000398054134703403,-1.19994239054795e-05,0.728096523129592,0.083528649643039,2.63141634763706
cegr0608_004,cegr_0608_txt,30,0.1,38,0.3707279438,ok,,200,0.000395518795898777,-1.20079841736254e-05,0.753406109059815,0.0855357416890663,2.5933183409995
cegr0608_005,cegr_0608_txt,30,0.1,38,0.4680959866,ok,,200,0.00034094239568142,-1.3139169096537e-05,1.18007968132723,0.113666167000236,1.98650958895977
cegr0608_006,cegr_0608_txt,30,0.1,38,0.5478621762,ok,,200,0.000149369678059878,-1.61001064898463e-05,1.67647583591059,0.103210182654998,1.29132019479833
cegr0608_007,cegr_0608_txt,30,0.1,38,0.6205626263,ok,,200,0.000145209843793408,-1.61359440622698e-05,1.35698677295516,0.0630278670833171,1.25566899715247
cegr0608_008,cegr_0608_txt,30,0.1,38,0,ok,,200,0.000435709249726814,-1.31705521648529e-05,0.364783772928973,0.0492599956466003,3.28758676857816
cegr0608_009,cegr_0608_txt,30,0.1,38,0.05314808853,ok,,200,0.00035455440608562,-1.43182578793452e-05,1.20807283762674,0.117912305577019,2.04765440885966
cegr0608_010,cegr_0608_txt,30,0.1,38,0.1952558824,ok,,200,0.000277510658891236,-1.56204870135668e-05,1.53716059583617,0.125727936104584,1.54819303690412
cegr0608_011,cegr_0608_txt,30,0.1,38,0.2190877358,ok,,197,0.000265705464997921,-1.59043097719978e-05,1.49569869392991,0.120941678989707,1.44675359222333
cegr0608_012,cegr_0608_txt,30,0.1,38,0.2303416667,ok,,197,0.000245477733895604,-1.54137883604376e-05,1.34628283475323,0.108219315668435,1.47837690810104
cegr0608_013,cegr_0608_txt,30,0.1,38,0,ok,,200,0.000408038534000951,-1.29010867918961e-05,0.799532449749651,0.0911795345540825,2.60016182059833
cegr0608_014,cegr_0608_txt,30,0.1,38,0.1489428571,ok,,200,0.000379366552580791,-1.34112822058167e-05,1.00940085539986,0.105577514778535,2.26635789946584
